Year,Quarter,LGA,Sex,0-4,5-14,15–24,25–34,35–44,45–54,55–64,> 65,Total
2023,1,Kajuru,Male,0,0,13,27,24,49,38,12,163
2023,1,Kajuru,Female,0,0,5,21,19,35,20,7,107
2023,2,Kajuru,Male,0,10,38,16,34,22,32,14,166
2023,2,Kajuru,Female,8,12,24,14,9,27,8,6,108
2023,3,Kajuru,Male,0,0,0,0,0,0,0,0,0
2023,3,Kajuru,Female,0,0,0,0,0,0,0,0,0
2023,4,Kajuru,Male,0,0,0,0,0,0,0,0,0
2023,4,Kajuru,Female,0,0,0,0,0,0,0,0,0
2023,1,Kaura,Male,2,0,5,14,17,13,1,5,57
2023,1,Kaura,Female,0,3,2,11,8,5,3,1,33
2023,2,Kaura,Male,1,2,7,16,18,19,3,2,68
2023,2,Kaura,Female,0,1,4,9,14,8,5,2,43
2023,3,Kaura,Male,0,0,0,0,0,0,0,0,0
2023,3,Kaura,Female,0,0,0,0,0,0,0,0,0
2023,4,Kaura,Male,0,0,0,0,0,0,0,0,0
2023,4,Kaura,Female,0,0,0,0,0,0,0,0,0
2023,1,Kauru,Male,50,69,39,34,75,109,61,53,490
2023,1,Kauru,Female,24,25,45,24,17,0,0,0,135
2023,2,Kauru,Male,10,215,75,50,71,46,40,4,511
2023,2,Kauru,Female,7,11,5,7,6,5,3,5,49
2023,3,Kauru,Male,0,0,0,0,0,0,0,0,0
2023,3,Kauru,Female,0,0,0,0,0,0,0,0,0
2023,4,Kauru,Male,0,0,0,0,0,0,0,0,0
2023,4,Kauru,Female,0,0,0,0,0,0,0,0,0
2023,1,Kubau,Male,0,5,7,11,11,13,8,0,55
2023,1,Kubau,Female,2,2,8,14,16,8,2,3,55
2023,2,Kubau,Male,11,9,13,19,9,12,10,3,86
2023,2,Kubau,Female,15,10,13,13,9,5,6,1,72
2023,3,Kubau,Male,0,0,0,0,0,0,0,0,0
2023,3,Kubau,Female,0,0,0,0,0,0,0,0,0
2023,4,Kubau,Male,0,0,0,0,0,0,0,0,0
2023,4,Kubau,Female,0,0,0,0,0,0,0,0,0
2023,1,Kudan,Male,2,3,1,8,6,8,3,3,34
2023,1,Kudan,Female,0,1,4,12,4,2,1,2,26
2023,2,Kudan,Male,0,5,2,6,9,11,8,0,41
2023,2,Kudan,Female,0,2,4,12,12,1,0,0,31
2023,3,Kudan,Male,0,0,0,0,0,0,0,0,0
2023,3,Kudan,Female,0,0,0,0,0,0,0,0,0
2023,4,Kudan,Male,0,0,0,0,0,0,0,0,0
2023,4,Kudan,Female,0,0,0,0,0,0,0,0,0
2023,1,Lere,Male,0,0,6,9,7,1,3,6,32
2023,1,Lere,Female,1,1,2,5,6,2,1,0,18
2023,2,Lere,Male,11,1,10,9,10,5,0,1,47
2023,2,Lere,Female,3,1,2,3,1,3,1,0,14
2023,3,Lere,Male,0,0,0,0,0,0,0,0,0
2023,3,Lere,Female,0,0,0,0,0,0,0,0,0
2023,4,Lere,Male,0,0,0,0,0,0,0,0,0
2023,4,Lere,Female,0,0,0,0,0,0,0,0,0
2023,1,Makarfi,Male,1,4,13,19,19,16,7,4,83
2023,1,Makarfi,Female,0,4,14,17,13,4,5,1,58
2023,2,Makarfi,Male,2,7,18,15,31,12,15,9,109
2023,2,Makarfi,Female,2,7,11,20,12,5,4,4,65
2023,3,Makarfi,Male,0,0,0,0,0,0,0,0,0
2023,3,Makarfi,Female,0,0,0,0,0,0,0,0,0
2023,4,Makarfi,Male,0,0,0,0,0,0,0,0,0
2023,4,Makarfi,Female,0,0,0,0,0,0,0,0,0
2023,1,Sabon Gari,Male,0,5,47,41,40,19,11,7,170
2023,1,Sabon Gari,Female,1,4,41,35,23,16,3,2,125
2023,2,Sabon Gari,Male,5,10,34,46,44,17,10,6,172
2023,2,Sabon Gari,Female,3,8,49,45,22,5,6,3,141
2023,3,Sabon Gari,Male,0,0,0,0,0,0,0,0,0
2023,3,Sabon Gari,Female,0,0,0,0,0,0,0,0,0
2023,4,Sabon Gari,Male,0,0,0,0,0,0,0,0,0
2023,4,Sabon Gari,Female,0,0,0,0,0,0,0,0,0
2023,1,Sanga,Male,0,0,7,12,12,14,4,1,50
2023,1,Sanga,Female,0,1,9,5,7,5,5,2,34
2023,2,Sanga,Male,0,4,0,8,6,3,4,2,27
2023,2,Sanga,Female,0,2,2,4,5,6,1,1,21
2023,3,Sanga,Male,0,0,0,0,0,0,0,0,0
2023,3,Sanga,Female,0,0,0,0,0,0,0,0,0
2023,4,Sanga,Male,0,0,0,0,0,0,0,0,0
2023,4,Sanga,Female,0,0,0,0,0,0,0,0,0
2023,1,Soba,Male,1,0,9,12,20,11,0,1,54
2023,1,Soba,Female,0,5,4,8,11,4,4,0,36
2023,2,Soba,Male,0,6,7,16,20,2,3,1,55
2023,2,Soba,Female,0,7,5,10,6,7,2,2,39
2023,3,Soba,Male,0,0,0,0,0,0,0,0,0
2023,3,Soba,Female,0,0,0,0,0,0,0,0,0
2023,4,Soba,Male,0,0,0,0,0,0,0,0,0
2023,4,Soba,Female,0,0,0,0,0,0,0,0,0
2023,1,Zangon kataf,Male,0,0,2,18,35,37,33,8,133
2023,1,Zangon kataf,Female,0,0,4,25,29,11,1,0,70
2023,2,Zangon kataf,Male,0,0,5,28,38,42,29,4,146
2023,2,Zangon kataf,Female,0,0,2,12,27,23,8,0,72
2023,3,Zangon kataf,Male,0,0,0,0,0,0,0,0,0
2023,3,Zangon kataf,Female,0,0,0,0,0,0,0,0,0
2023,4,Zangon kataf,Male,0,0,0,0,0,0,0,0,0
2023,4,Zangon kataf,Female,0,0,0,0,0,0,0,0,0
2023,1,Zaria,Male,5,16,56,108,134,99,40,6,464
2023,1,Zaria,Female,7,12,34,98,67,43,38,4,303
2023,2,Zaria,Male,22,16,201,99,34,23,21,20,436
2023,2,Zaria,Female,11,17,120,88,29,60,24,20,369
2023,3,Zaria,Male,0,0,0,0,0,0,0,0,0
2023,3,Zaria,Female,0,0,0,0,0,0,0,0,0
2023,4,Zaria,Male,0,0,0,0,0,0,0,0,0
2023,4,Zaria,Female,0,0,0,0,0,0,0,0,0
