,Year,Quarter,LGA,Sex,0-4,5-14,15-24,25-34,35-44,45-54,55-64,>=65,Total
90,2022,2,KAJURU,Male,0,0,16,43,35,29,7,2,132
91,2022,2,KAJURU,Female,0,0,9,26,28,9,6,1,79
92,2022,3,KAJURU,Male,0,4,11,45,38,42,28,0,168
93,2022,3,KAJURU,Female,0,2,4,25,30,14,6,4,85
94,2022,4,KAJURU,Male,0,3,15,40,49,38,25,10,180
95,2022,4,KAJURU,Female,0,4,7,35,28,17,8,4,103
96,2022,1,KAURA,Male,0,0,2,5,5,5,1,2,20
97,2022,1,KAURA,Female,0,0,0,1,1,0,,0,2
98,2022,2,KAURA,Male,0,0,2,6,13,6,3,1,31
99,2022,2,KAURA,Female,0,0,0,3,3,0,3,1,10
100,2022,3,KAURA,Male,0,0,3,8,7,3,4,0,25
101,2022,3,KAURA,Female,0,0,1,4,7,3,1,1,17
102,2022,4,KAURA,Male,0,0,5,16,20,11,3,2,57
103,2022,4,KAURA,Female,0,0,4,7,8,3,0,3,25
104,2022,1,KAURU,Male,0,3,93,68,30,45,40,15,294
105,2022,1,KAURU,Female,0,3,15,25,20,10,15,15,103
106,2022,2,KAURU,Male,0,2,90,32,72,20,14,4,234
107,2022,2,KAURU,Female,0,3,25,40,24,35,20,15,162
108,2022,3,KAURU,Male,20,30,59,103,91,40,43,34,420
109,2022,3,KAURU,Female,5,5,33,30,30,10,6,5,124
110,2022,4,KAURU,Male,0,94,53,97,84,70,24,20,442
111,2022,4,KAURU,Female,2,60,20,24,20,5,12,10,153
112,2022,1,KUBAU,Male,0,1,4,15,10,12,4,1,47
113,2022,1,KUBAU,Female,0,0,1,1,10,6,3,2,23
114,2022,2,KUBAU,Male,1,1,4,9,8,6,5,1,35
115,2022,2,KUBAU,Female,1,1,2,4,5,7,3,2,25
116,2022,3,KUBAU,Male,1,3,3,9,12,10,7,3,48
117,2022,3,KUBAU,Female,1,6,4,11,8,10,0,2,42
118,2022,4,KUBAU,Male,2,3,13,10,10,6,3,,47
119,2022,4,KUBAU,Female,3,3,8,11,7,10,3,2,47
120,2022,1,KUDAN,Male,0,0,2,4,5,6,3,0,20
121,2022,1,KUDAN,Female,0,1,2,7,2,5,2,0,19
122,2022,2,KUDAN,Male,1,1,2,5,0,7,4,1,21
123,2022,2,KUDAN,Female,1,1,2,4,6,3,,1,18
124,2022,3,KUDAN,Male,3,0,4,6,8,4,4,1,30
125,2022,3,KUDAN,Female,4,0,5,3,7,5,2,,26
126,2022,4,KUDAN,Male,0,2,5,9,7,5,6,2,36
127,2022,4,KUDAN,Female,6,1,5,9,1,1,0,1,24
128,2022,1,LERE,Male,0,1,2,8,8,9,3,3,34
129,2022,1,LERE,Female,0,0,4,3,5,3,1,1,17
130,2022,2,LERE,Male,0,0,2,9,10,5,3,1,30
131,2022,2,LERE,Female,0,1,4,4,2,2,2,0,15
132,2022,3,LERE,Male,1,3,6,4,1,7,1,5,28
133,2022,3,LERE,Female,0,1,0,7,3,2,1,0,14
134,2022,4,LERE,Male,1,1,2,14,8,7,4,1,38
135,2022,4,LERE,Female,0,2,8,6,8,1,1,0,26
136,2022,1,MAKARFI,Male,1,1,4,14,4,9,6,5,44
137,2022,1,MAKARFI,Female,1,3,2,9,5,4,2,3,29
138,2022,2,MAKARFI,Male,1,1,5,10,10,9,5,6,47
139,2022,2,MAKARFI,Female,1,4,2,7,9,3,4,3,33
140,2022,3,MAKARFI,Male,0,2,6,13,11,15,9,14,70
141,2022,3,MAKARFI,Female,6,5,6,21,11,4,11,4,68
142,2022,4,MAKARFI,Male,4,7,11,15,20,14,7,14,92
143,2022,4,MAKARFI,Female,2,4,8,14,10,10,5,5,58
144,2022,1,SABON GARI,Male,0,0,17,29,20,14,8,7,95
145,2022,1,SABON GARI,Female,2,0,16,25,17,5,1,2,68
146,2022,2,SABON GARI,Male,1,4,20,42,35,18,4,1,125
147,2022,2,SABON GARI,Female,0,1,17,25,23,7,5,1,79
148,2022,3,SABON GARI,Male,0,3,33,50,59,32,9,4,190
149,2022,3,SABON GARI,Female,0,2,39,54,34,16,6,1,152
150,2022,4,SABON GARI,Male,4,9,58,61,47,27,5,0,211
151,2022,4,SABON GARI,Female,1,13,36,48,25,9,4,1,137
152,2022,1,SANGA,Male,0,0,2,5,6,4,4,1,22
153,2022,1,SANGA,Female,0,3,1,4,2,1,0,1,12
154,2022,2,SANGA,Male,0,0,5,4,6,3,3,5,26
155,2022,2,SANGA,Female,0,0,2,4,2,1,1,0,10
156,2022,3,SANGA,Male,0,0,1,4,2,5,0,0,12
157,2022,3,SANGA,Female,0,0,1,2,2,3,0,4,12
158,2022,4,SANGA,Male,0,1,2,11,6,2,2,2,26
159,2022,4,SANGA,Female,0,1,1,4,6,2,1,1,16
160,2022,1,SOBA,Male,0,0,0,6,7,7,2,0,22
161,2022,1,SOBA,Female,1,1,1,4,7,7,3,2,26
162,2022,2,SOBA,Male,0,1,1,8,5,3,0,0,18
163,2022,2,SOBA,Female,0,0,0,9,12,3,4,2,30
164,2022,3,SOBA,Male,1,1,3,9,13,7,3,1,38
165,2022,3,SOBA,Female,0,0,8,9,12,5,0,1,35
166,2022,4,SOBA,Male,,,8,16,20,9,5,2,60
167,2022,4,SOBA,Female,,0,12,22,14,8,1,1,58
168,2022,1,ZANGON KATAF,Male,0,0,1,14,13,18,5,3,54
169,2022,1,ZANGON KATAF,Female,0,0,0,4,8,11,1,1,25
170,2022,2,ZANGON KATAF,Male,0,0,1,9,13,15,4,10,52
171,2022,2,ZANGON KATAF,Female,0,0,0,8,7,9,2,1,27
172,2022,3,ZANGON KATAF,Male,0,0,3,11,27,29,8,4,82
173,2022,3,ZANGON KATAF,Female,0,0,1,9,14,15,6,3,48
174,2022,4,ZANGON KATAF,Male,0,0,4,15,32,36,12,3,102
175,2022,4,ZANGON KATAF,Female,0,0,6,11,14,15,4,1,51
176,2022,1,ZARIA,Male,10,5,47,57,56,46,25,15,261
177,2022,1,ZARIA,Female,3,15,54,55,53,29,8,4,221
178,2022,2,ZARIA,Male,5,6,57,114,69,52,45,26,374
179,2022,2,ZARIA,Female,3,2,38,82,40,34,33,22,254
180,2022,3,ZARIA,Male,21,23,38,108,111,54,34,30,419
181,2022,3,ZARIA,Female,32,13,45,88,69,37,23,8,315
182,2022,4,ZARIA,Male,32,54,123,111,95,40,13,6,474
183,2022,4,ZARIA,Female,23,47,104,94,47,22,15,10,362
