,Year,Quarter,LGA,Sex,0-4,5-14,15-24,25-34,35-44,45-54,55-64,>=65,Total
0,2021,1,BIRIN GWARI,Male,0,2,1,0,4,5,2,5,19
1,2021,1,BIRIN GWARI,Female,0,0,1,3,2,0,0,4,10
2,2021,2,BIRIN GWARI,Male,0,1,6,3,7,12,12,9,50
3,2021,2,BIRIN GWARI,Female,0,0,2,6,4,4,5,4,25
4,2021,3,BIRIN GWARI,Male,0,0,1,5,6,7,1,14,34
5,2021,3,BIRIN GWARI,Female,0,0,2,2,3,3,0,6,16
6,2021,4,BIRIN GWARI,Male,0,0,2,5,12,12,11,17,59
7,2021,4,BIRIN GWARI,Female,0,0,7,3,9,9,9,9,46
8,2021,1,CHIKUN,Male,0,0,8,12,25,9,5,1,60
9,2021,1,CHIKUN,Female,0,0,8,6,5,3,5,4,31
10,2021,2,CHIKUN,Male,0,1,11,24,29,21,8,2,96
11,2021,2,CHIKUN,Female,0,0,5,7,6,5,3,1,27
12,2021,3,CHIKUN,Male,0,2,16,19,39,23,4,4,107
13,2021,3,CHIKUN,Female,0,0,8,11,11,5,1,0,36
14,2021,4,CHIKUN,Male,0,2,32,70,72,36,7,4,223
15,2021,4,CHIKUN,Female,0,0,33,46,26,7,2,0,114
16,2021,1,GIWA,Male,9,6,3,10,7,2,4,2,43
17,2021,1,GIWA,Female,6,6,2,2,5,4,1,1,27
18,2021,2,GIWA,Male,11,8,3,11,10,16,15,5,79
19,2021,2,GIWA,Female,6,5,6,14,9,10,3,4,57
20,2021,3,GIWA,Male,6,4,12,39,30,15,11,6,123
21,2021,3,GIWA,Female,3,6,17,38,19,11,9,4,107
22,2021,4,GIWA,Male,8,4,73,112,37,15,5,4,258
23,2021,4,GIWA,Female,2,5,96,110,21,13,4,2,253
24,2021,1,IGABI,Male,0,0,11,29,12,10,2,3,67
25,2021,1,IGABI,Female,0,1,11,12,5,3,0,1,33
26,2021,2,IGABI,Male,2,1,8,26,6,8,1,3,55
27,2021,2,IGABI,Female,2,2,13,7,6,3,0,1,34
28,2021,3,IGABI,Male,1,4,12,19,10,9,2,5,62
29,2021,3,IGABI,Female,2,5,11,14,5,1,4,1,43
30,2021,4,IGABI,Male,3,0,34,47,21,14,9,2,130
31,2021,4,IGABI,Female,1,2,11,24,13,6,4,0,61
32,2021,1,IKARA,Male,0,0,2,6,1,0,1,0,10
33,2021,1,IKARA,Female,0,0,2,2,1,1,2,1,9
34,2021,2,IKARA,Male,0,2,2,5,0,5,1,0,15
35,2021,2,IKARA,Female,0,3,1,3,3,1,0,0,11
36,2021,3,IKARA,Male,0,0,3,5,4,4,1,2,19
37,2021,3,IKARA,Female,0,2,2,3,0,1,1,0,9
38,2021,4,IKARA,Male,3,1,2,5,4,3,1,1,20
39,2021,4,IKARA,Female,4,1,1,5,2,1,0,2,16
40,2021,1,JABA,Male,0,1,0,5,6,3,4,1,20
41,2021,1,JABA,Female,0,0,0,0,2,0,0,1,3
42,2021,2,JABA,Male,0,0,2,1,11,5,1,1,21
43,2021,2,JABA,Female,0,0,1,0,2,0,0,0,3
44,2021,3,JABA,Male,0,0,0,3,10,4,0,3,20
45,2021,3,JABA,Female,0,0,1,2,1,0,0,1,5
46,2021,4,JABA,Male,0,0,2,1,3,5,3,1,15
47,2021,4,JABA,Female,0,0,0,0,1,2,0,0,3
48,2021,1,JEMAA,Male,0,0,2,5,15,12,7,0,41
49,2021,1,JEMAA,Female,0,1,1,3,3,5,4,0,17
50,2021,2,JEMAA,Male,0,0,7,10,9,18,9,4,57
