,Year,Quarter,LGA,Sex,0-4,5-14,15-24,25-34,35-44,45-54,55-64,>=65,Total
51,2021,2,JEMAA,Female,0,0,4,9,9,10,0,0,32
52,2021,3,JEMAA,Male,0,0,4,19,21,17,6,6,73
53,2021,3,JEMAA,Female,0,0,5,17,12,7,3,1,45
54,2021,4,JEMAA,Male,0,0,7,18,26,11,13,2,77
55,2021,4,JEMAA,Female,0,0,11,18,10,4,9,2,54
56,2021,1,KACHIA,Male,0,0,3,16,24,34,13,5,95
57,2021,1,KACHIA,Female,0,0,4,14,30,16,14,3,81
58,2021,2,KACHIA,Male,0,0,8,22,34,36,26,17,143
59,2021,2,KACHIA,Female,0,0,4,24,29,24,24,11,116
60,2021,3,KACHIA,Male,0,1,1,21,32,38,28,6,127
61,2021,3,KACHIA,Female,0,1,8,25,21,19,8,4,86
62,2021,4,KACHIA,Male,0,0,13,28,41,35,43,35,195
63,2021,4,KACHIA,Female,0,0,1,29,22,9,16,12,89
64,2021,1,KADUNA NORTH,Male,6,5,40,56,59,11,9,13,199
65,2021,1,KADUNA NORTH,Female,5,7,39,50,32,14,9,2,158
66,2021,2,KADUNA NORTH,Male,4,8,47,62,47,15,12,9,204
67,2021,2,KADUNA NORTH,Female,1,6,45,61,37,9,7,3,169
68,2021,3,KADUNA NORTH,Male,4,8,49,79,49,17,9,7,222
69,2021,3,KADUNA NORTH,Female,3,9,62,48,26,18,8,4,178
70,2021,4,KADUNA NORTH,Male,3,6,16,71,85,57,16,9,263
71,2021,4,KADUNA NORTH,Female,2,4,24,58,72,47,14,3,224
72,2021,1,KADUNA SOUTH,Male,6,9,34,50,45,15,10,10,179
73,2021,1,KADUNA SOUTH,Female,1,6,30,25,18,7,5,8,100
74,2021,2,KADUNA SOUTH,Male,3,8,28,41,40,17,6,7,150
75,2021,2,KADUNA SOUTH,Female,3,1,26,14,17,11,5,10,87
76,2021,3,KADUNA SOUTH,Male,3,3,27,44,40,20,10,11,158
77,2021,3,KADUNA SOUTH,Female,1,3,22,16,15,7,1,7,72
78,2021,4,KADUNA SOUTH,Male,1,8,36,35,42,29,12,10,173
79,2021,4,KADUNA SOUTH,Female,1,4,31,23,14,8,4,5,90
80,2021,1,KAGARKO,Male,0,1,0,3,1,1,0,0,6
81,2021,1,KAGARKO,Female,0,2,2,3,0,2,2,3,14
82,2021,2,KAGARKO,Male,0,1,0,2,3,1,0,1,8
83,2021,2,KAGARKO,Female,0,0,1,4,4,1,0,0,10
84,2021,3,KAGARKO,Male,0,0,5,5,10,4,3,1,28
85,2021,3,KAGARKO,Female,0,1,1,2,0,0,0,0,4
86,2021,4,KAGARKO,Male,0,0,1,3,4,1,0,0,9
87,2021,4,KAGARKO,Female,0,0,5,4,0,2,0,0,11
88,2021,1,KAJURU,Male,0,1,1,6,8,3,1,1,21
89,2021,1,KAJURU,Female,0,0,3,3,4,3,0,0,13
90,2021,2,KAJURU,Male,0,0,8,10,11,7,7,1,44
91,2021,2,KAJURU,Female,0,1,8,25,9,1,2,0,46
92,2021,3,KAJURU,Male,0,0,4,21,18,12,4,1,60
93,2021,3,KAJURU,Female,0,0,4,24,11,3,3,0,45
94,2021,4,KAJURU,Male,0,0,25,33,18,12,2,1,91
95,2021,4,KAJURU,Female,0,0,15,11,8,8,3,0,45
96,2021,1,KAURA,Male,0,0,1,3,10,6,3,4,27
97,2021,1,KAURA,Female,0,0,1,0,3,4,1,3,12
98,2021,2,KAURA,Male,0,0,3,2,6,2,2,2,17
99,2021,2,KAURA,Female,0,0,0,1,0,2,2,2,7
100,2021,3,KAURA,Male,0,0,0,1,5,3,0,0,9
101,2021,3,KAURA,Female,0,0,0,1,1,1,0,0,3
102,2021,4,KAURA,Male,0,0,1,3,8,4,2,2,20
103,2021,4,KAURA,Female,0,0,0,1,2,1,1,0,5
104,2021,1,KAURU,Male,1,0,0,43,46,0,1,1,92
105,2021,1,KAURU,Female,0,0,0,9,12,0,0,0,21
106,2021,2,KAURU,Male,0,0,0,56,30,25,6,0,117
107,2021,2,KAURU,Female,0,0,0,15,15,10,10,0,50
108,2021,3,KAURU,Male,0,1,15,32,36,16,13,18,131
109,2021,3,KAURU,Female,0,0,10,15,25,13,1,4,68
110,2021,4,KAURU,Male,3,0,20,35,40,45,27,0,170
111,2021,4,KAURU,Female,0,0,10,27,20,25,33,0,115
112,2021,1,KUBAU,Male,0,0,3,7,8,6,2,1,27
113,2021,1,KUBAU,Female,0,0,2,4,3,2,0,1,12
114,2021,2,KUBAU,Male,0,0,2,9,9,4,1,0,25
115,2021,2,KUBAU,Female,0,1,3,8,1,3,2,0,18
116,2021,3,KUBAU,Male,0,0,6,5,4,2,7,0,24
117,2021,3,KUBAU,Female,0,1,2,5,6,2,2,0,18
118,2021,4,KUBAU,Male,0,1,2,11,10,10,2,4,40
119,2021,4,KUBAU,Female,0,2,1,1,3,8,6,1,22
120,2021,1,KUDAN,Male,0,0,5,3,3,1,2,0,14
121,2021,1,KUDAN,Female,0,0,1,2,2,2,0,0,7
122,2021,2,KUDAN,Male,0,0,3,2,2,3,2,,12
123,2021,2,KUDAN,Female,0,1,0,3,4,3,0,0,11
124,2021,3,KUDAN,Male,0,0,6,2,3,5,4,,20
125,2021,3,KUDAN,Female,0,0,0,5,4,3,,0,12
126,2021,4,KUDAN,Male,1,0,2,10,4,5,1,,23
127,2021,4,KUDAN,Female,0,1,2,3,3,4,,,13
128,2021,1,LERE,Male,0,0,4,9,10,7,3,3,36
129,2021,1,LERE,Female,0,0,1,5,6,1,0,0,13
130,2021,2,LERE,Male,0,1,5,10,7,10,2,2,37
131,2021,2,LERE,Female,0,1,3,3,4,3,3,3,20
132,2021,3,LERE,Male,0,2,3,9,3,8,2,1,28
133,2021,3,LERE,Female,0,0,2,3,8,1,2,0,16
134,2021,4,LERE,Male,0,2,5,12,8,5,3,2,37
135,2021,4,LERE,Female,0,2,0,4,8,1,4,1,20
136,2021,1,MARKARFI,Male,1,0,5,10,6,4,4,5,35
137,2021,1,MARKARFI,Female,0,2,4,5,3,2,3,3,22
138,2021,2,MARKARFI,Male,1,0,6,9,7,3,3,6,35
139,2021,2,MARKARFI,Female,1,3,1,5,5,4,2,1,22
140,2021,3,MARKARFI,Male,2,1,4,9,6,7,4,10,43
141,2021,3,MARKARFI,Female,0,1,2,10,4,5,0,2,24
142,2021,4,MARKARFI,Male,2,1,2,7,5,4,6,13,40
143,2021,4,MARKARFI,Female,2,2,7,13,6,5,5,4,44
144,2021,1,SABON GARI,Male,0,1,8,12,4,7,3,1,36
145,2021,1,SABON GARI,Female,0,0,12,2,6,4,3,3,30
146,2021,2,SABON GARI,Male,1,0,13,8,12,5,5,2,46
147,2021,2,SABON GARI,Female,0,1,15,11,4,3,1,1,36
148,2021,3,SABON GARI,Male,2,2,22,21,13,2,1,4,67
149,2021,3,SABON GARI,Female,0,2,23,8,5,1,1,0,40
150,2021,4,SABON GARI,Male,0,0,21,22,16,12,8,5,84
151,2021,4,SABON GARI,Female,0,2,12,8,7,3,1,2,35
152,2021,1,SANGA,Male,0,2,0,7,2,2,3,3,19
153,2021,1,SANGA,Female,0,0,2,3,2,0,0,2,9
154,2021,2,SANGA,Male,0,2,1,3,5,3,2,2,18
155,2021,2,SANGA,Female,0,0,2,2,1,0,1,1,7
156,2021,3,SANGA,Male,0,0,1,2,1,5,1,1,11
157,2021,3,SANGA,Female,0,1,0,3,4,0,1,2,11
158,2021,4,SANGA,Male,0,0,2,1,4,4,0,1,12
159,2021,4,SANGA,Female,0,0,0,0,3,0,3,2,8
160,2021,1,SOBA,Male,0,0,1,3,3,3,3,2,15
161,2021,1,SOBA,Female,0,0,4,8,5,7,4,0,28
162,2021,2,SOBA,Male,0,1,8,4,2,6,3,1,25
163,2021,2,SOBA,Female,1,0,7,8,7,6,1,,30
164,2021,3,SOBA,Male,0,1,0,7,6,5,3,0,22
165,2021,3,SOBA,Female,1,1,1,13,10,2,2,2,32
166,2021,4,SOBA,Male,1,1,1,7,9,4,1,2,26
167,2021,4,SOBA,Female,0,0,3,6,4,2,2,2,19
168,2021,1,ZANGON KATAF,Male,0,0,0,7,9,8,3,3,30
169,2021,1,ZANGON KATAF,Female,0,0,3,3,3,5,4,8,26
170,2021,2,ZANGON KATAF,Male,0,0,3,7,10,11,8,4,43
171,2021,2,ZANGON KATAF,Female,0,0,1,6,5,4,2,1,19
172,2021,3,ZANGON KATAF,Male,0,0,1,5,6,11,9,2,34
173,2021,3,ZANGON KATAF,Female,0,0,1,3,7,4,2,2,19
174,2021,4,ZANGON KATAF,Male,0,0,1,2,11,15,6,3,38
175,2021,4,ZANGON KATAF,Female,0,0,1,9,8,5,0,3,26
176,2021,1,ZARIA,Male,1,1,24,36,21,14,8,3,108
177,2021,1,ZARIA,Female,0,2,27,21,14,8,5,4,81
178,2021,2,ZARIA,Male,0,2,44,62,28,13,9,6,164
179,2021,2,ZARIA,Female,0,4,33,47,18,7,3,1,113
180,2021,3,ZARIA,Male,,2,64,62,30,24,4,9,195
181,2021,3,ZARIA,Female,,5,54,58,25,11,5,4,162
182,2021,4,ZARIA,Male,0,3,79,101,44,20,8,5,260
183,2021,4,ZARIA,Female,0,2,76,46,22,11,7,6,170
