,Year,Quarter,LGA,Sex,Age_Gr,TB_Cases
127,2022,4,Kudan,Female,0-4,6
128,2022,1,Lere,Male,0-4,0
129,2022,1,Lere,Female,0-4,0
130,2022,2,Lere,Male,0-4,0
131,2022,2,Lere,Female,0-4,0
132,2022,3,Lere,Male,0-4,1
133,2022,3,Lere,Female,0-4,0
134,2022,4,Lere,Male,0-4,1
135,2022,4,Lere,Female,0-4,0
136,2022,1,Makarfi,Male,0-4,1
137,2022,1,Makarfi,Female,0-4,1
138,2022,2,Makarfi,Male,0-4,1
139,2022,2,Makarfi,Female,0-4,1
140,2022,3,Makarfi,Male,0-4,0
141,2022,3,Makarfi,Female,0-4,6
142,2022,4,Makarfi,Male,0-4,4
143,2022,4,Makarfi,Female,0-4,2
144,2022,1,Sabon – Gari,Male,0-4,0
145,2022,1,Sabon – Gari,Female,0-4,2
146,2022,2,Sabon – Gari,Male,0-4,1
147,2022,2,Sabon – Gari,Female,0-4,0
148,2022,3,Sabon – Gari,Male,0-4,0
149,2022,3,Sabon – Gari,Female,0-4,0
150,2022,4,Sabon – Gari,Male,0-4,4
151,2022,4,Sabon – Gari,Female,0-4,1
152,2022,1,Sanga,Male,0-4,0
153,2022,1,Sanga,Female,0-4,0
154,2022,2,Sanga,Male,0-4,0
155,2022,2,Sanga,Female,0-4,0
156,2022,3,Sanga,Male,0-4,0
157,2022,3,Sanga,Female,0-4,0
158,2022,4,Sanga,Male,0-4,0
159,2022,4,Sanga,Female,0-4,0
160,2022,1,Soba,Male,0-4,0
161,2022,1,Soba,Female,0-4,1
162,2022,2,Soba,Male,0-4,0
163,2022,2,Soba,Female,0-4,0
164,2022,3,Soba,Male,0-4,1
165,2022,3,Soba,Female,0-4,0
166,2022,4,Soba,Male,0-4,0
167,2022,4,Soba,Female,0-4,0
168,2022,1,Zangon – Kataf,Male,0-4,0
169,2022,1,Zangon – Kataf,Female,0-4,0
170,2022,2,Zangon – Kataf,Male,0-4,0
171,2022,2,Zangon – Kataf,Female,0-4,0
172,2022,3,Zangon – Kataf,Male,0-4,0
173,2022,3,Zangon – Kataf,Female,0-4,0
174,2022,4,Zangon – Kataf,Male,0-4,0
175,2022,4,Zangon – Kataf,Female,0-4,0
176,2022,1,Zaria,Male,0-4,10
177,2022,1,Zaria,Female,0-4,3
178,2022,2,Zaria,Male,0-4,5
179,2022,2,Zaria,Female,0-4,3
180,2022,3,Zaria,Male,0-4,21
181,2022,3,Zaria,Female,0-4,32
182,2022,4,Zaria,Male,0-4,32
183,2022,4,Zaria,Female,0-4,23
184,2022,1,Birni – Gwari,Male,5-14,0
185,2022,1,Birni – Gwari,Female,5-14,0
186,2022,2,Birni – Gwari,Male,5-14,0
187,2022,2,Birni – Gwari,Female,5-14,0
188,2022,3,Birni – Gwari,Male,5-14,0
189,2022,3,Birni – Gwari,Female,5-14,1
190,2022,4,Birni – Gwari,Male,5-14,2
191,2022,4,Birni – Gwari,Female,5-14,5
192,2022,1,Chikun,Male,5-14,0
193,2022,1,Chikun,Female,5-14,1
194,2022,2,Chikun,Male,5-14,0
195,2022,2,Chikun,Female,5-14,3
196,2022,3,Chikun,Male,5-14,3
197,2022,3,Chikun,Female,5-14,3
198,2022,4,Chikun,Male,5-14,5
199,2022,4,Chikun,Female,5-14,4
200,2022,1,Giwa,Male,5-14,9
201,2022,1,Giwa,Female,5-14,2
202,2022,2,Giwa,Male,5-14,7
203,2022,2,Giwa,Female,5-14,5
204,2022,3,Giwa,Male,5-14,25
205,2022,3,Giwa,Female,5-14,23
206,2022,4,Giwa,Male,5-14,73
207,2022,4,Giwa,Female,5-14,73
208,2022,1,Igabi,Male,5-14,10
209,2022,1,Igabi,Female,5-14,6
210,2022,2,Igabi,Male,5-14,4
211,2022,2,Igabi,Female,5-14,1
212,2022,3,Igabi,Male,5-14,7
213,2022,3,Igabi,Female,5-14,3
214,2022,4,Igabi,Male,5-14,4
215,2022,4,Igabi,Female,5-14,3
216,2022,1,Ikara,Male,5-14,2
217,2022,1,Ikara,Female,5-14,1
218,2022,2,Ikara,Male,5-14,0
