,Year,Quarter,LGA,Sex,Age_Gr,TB_Cases
0,2021,1,BIRIN GWARI,Male,0-4,0
1,2021,1,BIRIN GWARI,Female,0-4,0
2,2021,2,BIRIN GWARI,Male,0-4,0
3,2021,2,BIRIN GWARI,Female,0-4,0
4,2021,3,BIRIN GWARI,Male,0-4,0
5,2021,3,BIRIN GWARI,Female,0-4,0
6,2021,4,BIRIN GWARI,Male,0-4,0
7,2021,4,BIRIN GWARI,Female,0-4,0
8,2021,1,CHIKUN,Male,0-4,0
9,2021,1,CHIKUN,Female,0-4,0
10,2021,2,CHIKUN,Male,0-4,0
11,2021,2,CHIKUN,Female,0-4,0
12,2021,3,CHIKUN,Male,0-4,0
13,2021,3,CHIKUN,Female,0-4,0
14,2021,4,CHIKUN,Male,0-4,0
15,2021,4,CHIKUN,Female,0-4,0
16,2021,1,GIWA,Male,0-4,9
17,2021,1,GIWA,Female,0-4,6
18,2021,2,GIWA,Male,0-4,11
19,2021,2,GIWA,Female,0-4,6
20,2021,3,GIWA,Male,0-4,6
21,2021,3,GIWA,Female,0-4,3
22,2021,4,GIWA,Male,0-4,8
23,2021,4,GIWA,Female,0-4,2
24,2021,1,IGABI,Male,0-4,0
25,2021,1,IGABI,Female,0-4,0
26,2021,2,IGABI,Male,0-4,2
27,2021,2,IGABI,Female,0-4,2
28,2021,3,IGABI,Male,0-4,1
29,2021,3,IGABI,Female,0-4,2
30,2021,4,IGABI,Male,0-4,3
31,2021,4,IGABI,Female,0-4,1
32,2021,1,IKARA,Male,0-4,0
33,2021,1,IKARA,Female,0-4,0
34,2021,2,IKARA,Male,0-4,0
35,2021,2,IKARA,Female,0-4,0
36,2021,3,IKARA,Male,0-4,0
37,2021,3,IKARA,Female,0-4,0
38,2021,4,IKARA,Male,0-4,3
39,2021,4,IKARA,Female,0-4,4
40,2021,1,JABA,Male,0-4,0
41,2021,1,JABA,Female,0-4,0
42,2021,2,JABA,Male,0-4,0
43,2021,2,JABA,Female,0-4,0
44,2021,3,JABA,Male,0-4,0
45,2021,3,JABA,Female,0-4,0
46,2021,4,JABA,Male,0-4,0
47,2021,4,JABA,Female,0-4,0
48,2021,1,JEMAA,Male,0-4,0
49,2021,1,JEMAA,Female,0-4,0
50,2021,2,JEMAA,Male,0-4,0
51,2021,2,JEMAA,Female,0-4,0
52,2021,3,JEMAA,Male,0-4,0
53,2021,3,JEMAA,Female,0-4,0
54,2021,4,JEMAA,Male,0-4,0
55,2021,4,JEMAA,Female,0-4,0
56,2021,1,KACHIA,Male,0-4,0
57,2021,1,KACHIA,Female,0-4,0
58,2021,2,KACHIA,Male,0-4,0
59,2021,2,KACHIA,Female,0-4,0
60,2021,3,KACHIA,Male,0-4,0
61,2021,3,KACHIA,Female,0-4,0
62,2021,4,KACHIA,Male,0-4,0
63,2021,4,KACHIA,Female,0-4,0
64,2021,1,KADUNA NORTH,Male,0-4,6
65,2021,1,KADUNA NORTH,Female,0-4,5
66,2021,2,KADUNA NORTH,Male,0-4,4
67,2021,2,KADUNA NORTH,Female,0-4,1
68,2021,3,KADUNA NORTH,Male,0-4,4
69,2021,3,KADUNA NORTH,Female,0-4,3
70,2021,4,KADUNA NORTH,Male,0-4,3
71,2021,4,KADUNA NORTH,Female,0-4,2
72,2021,1,KADUNA SOUTH,Male,0-4,6
73,2021,1,KADUNA SOUTH,Female,0-4,1
74,2021,2,KADUNA SOUTH,Male,0-4,3
75,2021,2,KADUNA SOUTH,Female,0-4,3
76,2021,3,KADUNA SOUTH,Male,0-4,3
77,2021,3,KADUNA SOUTH,Female,0-4,1
78,2021,4,KADUNA SOUTH,Male,0-4,1
79,2021,4,KADUNA SOUTH,Female,0-4,1
80,2021,1,KAGARKO,Male,0-4,0
81,2021,1,KAGARKO,Female,0-4,0
82,2021,2,KAGARKO,Male,0-4,0
83,2021,2,KAGARKO,Female,0-4,0
84,2021,3,KAGARKO,Male,0-4,0
85,2021,3,KAGARKO,Female,0-4,0
86,2021,4,KAGARKO,Male,0-4,0
87,2021,4,KAGARKO,Female,0-4,0
88,2021,1,KAJURU,Male,0-4,0
89,2021,1,KAJURU,Female,0-4,0
90,2021,2,KAJURU,Male,0-4,0
91,2021,2,KAJURU,Female,0-4,0
92,2021,3,KAJURU,Male,0-4,0
93,2021,3,KAJURU,Female,0-4,0
94,2021,4,KAJURU,Male,0-4,0
95,2021,4,KAJURU,Female,0-4,0
96,2021,1,KAURA,Male,0-4,0
97,2021,1,KAURA,Female,0-4,0
98,2021,2,KAURA,Male,0-4,0
99,2021,2,KAURA,Female,0-4,0
100,2021,3,KAURA,Male,0-4,0
101,2021,3,KAURA,Female,0-4,0
102,2021,4,KAURA,Male,0-4,0
