,Year,Quarter,LGA,Sex,Age_Gr,TB_Cases
0,2023,1,Birni – Gwari,Male,0-4,0
1,2023,1,Birni – Gwari,Female,0-4,0
2,2023,2,Birni – Gwari,Male,0-4,1
3,2023,2,Birni – Gwari,Female,0-4,0
4,2023,3,Birni – Gwari,Male,0-4,0
5,2023,3,Birni – Gwari,Female,0-4,0
6,2023,4,Birni – Gwari,Male,0-4,0
7,2023,4,Birni – Gwari,Female,0-4,0
8,2023,1,Chikun,Male,0-4,0
9,2023,1,Chikun,Female,0-4,2
10,2023,2,Chikun,Male,0-4,7
11,2023,2,Chikun,Female,0-4,3
12,2023,3,Chikun,Male,0-4,0
13,2023,3,Chikun,Female,0-4,0
14,2023,4,Chikun,Male,0-4,0
15,2023,4,Chikun,Female,0-4,0
16,2023,1,Giwa,Male,0-4,5
17,2023,1,Giwa,Female,0-4,3
18,2023,2,Giwa,Male,0-4,3
19,2023,2,Giwa,Female,0-4,5
20,2023,3,Giwa,Male,0-4,0
21,2023,3,Giwa,Female,0-4,0
22,2023,4,Giwa,Male,0-4,0
23,2023,4,Giwa,Female,0-4,0
24,2023,1,Igabi,Male,0-4,1
25,2023,1,Igabi,Female,0-4,0
26,2023,2,Igabi,Male,0-4,3
27,2023,2,Igabi,Female,0-4,1
28,2023,3,Igabi,Male,0-4,0
29,2023,3,Igabi,Female,0-4,0
30,2023,4,Igabi,Male,0-4,0
31,2023,4,Igabi,Female,0-4,0
32,2023,1,Ikara,Male,0-4,3
33,2023,1,Ikara,Female,0-4,1
34,2023,2,Ikara,Male,0-4,7
35,2023,2,Ikara,Female,0-4,4
36,2023,3,Ikara,Male,0-4,0
37,2023,3,Ikara,Female,0-4,0
38,2023,4,Ikara,Male,0-4,0
39,2023,4,Ikara,Female,0-4,0
40,2023,1,Jaba,Male,0-4,0
41,2023,1,Jaba,Female,0-4,0
42,2023,2,Jaba,Male,0-4,0
43,2023,2,Jaba,Female,0-4,0
44,2023,3,Jaba,Male,0-4,0
45,2023,3,Jaba,Female,0-4,0
46,2023,4,Jaba,Male,0-4,0
47,2023,4,Jaba,Female,0-4,0
48,2023,1,Jema'a,Male,0-4,0
49,2023,1,Jema'a,Female,0-4,0
50,2023,2,Jema'a,Male,0-4,0
51,2023,2,Jema'a,Female,0-4,1
52,2023,3,Jema'a,Male,0-4,0
53,2023,3,Jema'a,Female,0-4,0
54,2023,4,Jema'a,Male,0-4,0
55,2023,4,Jema'a,Female,0-4,0
56,2023,1,Kachia,Male,0-4,2
57,2023,1,Kachia,Female,0-4,1
58,2023,2,Kachia,Male,0-4,0
59,2023,2,Kachia,Female,0-4,0
60,2023,3,Kachia,Male,0-4,0
61,2023,3,Kachia,Female,0-4,0
62,2023,4,Kachia,Male,0-4,0
63,2023,4,Kachia,Female,0-4,0
64,2023,1,Kaduna North,Male,0-4,36
65,2023,1,Kaduna North,Female,0-4,42
66,2023,2,Kaduna North,Male,0-4,18
67,2023,2,Kaduna North,Female,0-4,22
68,2023,3,Kaduna North,Male,0-4,0
69,2023,3,Kaduna North,Female,0-4,0
70,2023,4,Kaduna North,Male,0-4,0
71,2023,4,Kaduna North,Female,0-4,0
72,2023,1,Kaduna South,Male,0-4,1
73,2023,1,Kaduna South,Female,0-4,5
74,2023,2,Kaduna South,Male,0-4,18
75,2023,2,Kaduna South,Female,0-4,12
76,2023,3,Kaduna South,Male,0-4,0
77,2023,3,Kaduna South,Female,0-4,0
78,2023,4,Kaduna South,Male,0-4,0
79,2023,4,Kaduna South,Female,0-4,0
80,2023,1,Kagarko,Male,0-4,0
81,2023,1,Kagarko,Female,0-4,0
82,2023,2,Kagarko,Male,0-4,1
83,2023,2,Kagarko,Female,0-4,2
84,2023,3,Kagarko,Male,0-4,0
85,2023,3,Kagarko,Female,0-4,0
86,2023,4,Kagarko,Male,0-4,0
87,2023,4,Kagarko,Female,0-4,0
88,2023,1,Kajuru,Male,0-4,0
89,2023,1,Kajuru,Female,0-4,0
90,2023,2,Kajuru,Male,0-4,0
91,2023,2,Kajuru,Female,0-4,8
92,2023,3,Kajuru,Male,0-4,0
93,2023,3,Kajuru,Female,0-4,0
94,2023,4,Kajuru,Male,0-4,0
95,2023,4,Kajuru,Female,0-4,0
96,2023,1,Kaura,Male,0-4,2
97,2023,1,Kaura,Female,0-4,0
98,2023,2,Kaura,Male,0-4,1
99,2023,2,Kaura,Female,0-4,0
100,2023,3,Kaura,Male,0-4,0
101,2023,3,Kaura,Female,0-4,0
102,2023,4,Kaura,Male,0-4,0
103,2023,4,Kaura,Female,0-4,0
104,2023,1,Kauru,Male,0-4,50
105,2023,1,Kauru,Female,0-4,24
106,2023,2,Kauru,Male,0-4,10
107,2023,2,Kauru,Female,0-4,7
